name,distance,mass,radius

Sun,1.5813e-05,1.0,1.0
Sirius,"8.6
",2.1,"1.71´
"
Canopus,"310
",15.0,71.0
Alpha Centauri,"4.4
",1.1,1.2
Arcturus,"37
",1.1,26.0
Vega,"25
",2.2,2.7
Capella,"43
",2.6,12.0
Rigel,"860
",23.0,78.9
Procyon,"11.4
",1.5,1.9
Betelgeuse,"
",20.0,950.0
Achernar,"144
",6.7,9.3
Hadar,"390
",10.5,8.6
Altair,"17
",1.8,1.8
Acrux,"320
",18.0,8.9
Aldebaran,"65
",1.5,44.0
Antares,"600
",12.0,680.0
Spica,"260
",11.43,7.47
Pollux,"34
",1.9,8.8
Fomalhaut,"25
",1.9,1.8
Deneb,"2,600
",19.0,203.0
Mimosa,"350
",16.0,8.4
Regulus,"77
",3.8,3.1
Adhara,"430
",12.5,14.0
Shaula,"700
",14.5,8.8
Castor,"52
",2.8,2.4
Gacrux,"88
",1.5,84.0
Bellatrix,"240
",8.6,5.8
Elnath,"130
",5.0,4.2
Miaplacidus,"110
",3.5,6.8
Alnilam,"2,000
",32.0,42.0
Gamma Velorum,"1,100
",9.0,6.0
Alnair,"101
",4.0,3.4
Alioth,"81
",2.9,4.2
Alnitak,"1050
",33.0,20.0
Dubhe,"120
",4.25,30.0
Mirfak,"590
",8.5,68.0
Wezen,"1,600
",17.0,200.0
Sargas,"270
",5.7,26.0
Kaus Australis,"140
",3.5,6.8
Avior,"630
",9.0,130.0
Alkaid,"104
",6.1,3.4
Menkalinan,"81
",2.39,2.77
"Atria
","390
",7.0,92.0
Alhena,"109
",2.8,3.3
"Peacock
","180
",5.9,4.8
[2],"80
",2.4,2.9
Mirzam,"500
",13.5,10.0
Polaris,"430
",5.4,39.0
Alphard,"180
",3.0,50.0
Mintaka,"1200
",24.0,16.5
Scheat,"196
",2.1,95.0
Almaaz,"653
",15.0,140.0
Rasalgethi,"360
",2.8,280.0
Tau Ceti,"11.9
",0.783,0.893
Delta Pavonis,"19.92
",0.991,1.22
Ran,"10.48
",0.82,0.74
V382 Carinae,"8,900
",20.0,485.0
Eta Carinae,"7,500
",100.0,"60–881
"
Delta Cephei,"887
",4.5,44.5
Mu Cephei,"6,000
",19.2,972.0
Titawin,"44.25
",1.27,1.48
Rho Cassiopeiae,"8,154
",22.0,"636-981
"
P Cygni,"5,545
",30.0,76.0
La Superba,"1,000
","
","129 - 342
"
VV Cephei,"4,900
",18.2,"516 - 1,050
"
61 Cygni,"11.41
",0.7,0.665
R Doradus,"178
","0.7 - 1.0
",298.0
Polaris Australis,"281
",1.59,3.74
R Coronae Borealis,"4,566
",0.85,85.0
54 Piscium,"36.1
",0.76,0.94
Mira,"300
",1.2,370.0
RW Cephei,"14,000
",13.9,"1,158
"
Lacaille 8760,"12.87
",0.6,0.51
V838 Monocerotis,"19,896
","?
","380 - 750
"
HD 140283,"190
","?
",1.4
II Pegasi,"130
",0.8,3.4
VY Canis Majoris,"3,900
",17.0,"1,420
"
Pistol Star,"25,000
",100.0,320.0
S Doradus,"169,000
",24.0,380.0
UY Scuti,"5,100
","7–10
",755.0
Barnard's Star,"5.98
",0.14,0.2
Luhman 16,"6.52
",0.04,"?
"
Proxima Centauri,"4.25
",0.12,0.15
KIC 8462852,"1,470
",1.43,1.58
R136a1,"163,000
",290.0,32.0
Melnick 42,"163,000
",189.0,21.1
WR 102,"18,134
",19.0,0.39
VFTS 352,"164,000
",57.48,14.47
YBP 1194,"2,772
",1.01,0.99
Gliese 1214,"47.5
",0.16,0.21
NML Cygni,"5,251
",50.0,"1,640 - 2,770
"
VB 10,"18.72
",0.075,0.1
WOH G64,"163,000
","<20
","1,540 - 1,730
"
TRAPPIST-1,"39.6
",0.089,0.12
2MASS J0523-1403,"40.3
",0.07,0.086
WISE 0855−0714,"7.27
",0.003,"?
"
Icarus,"14,400,000,000
",33.0,"?
"
